dataset,n_samples,n_features,mpf_min,mpf_max,mpf_mean,mpf_std,mean_s2_count,mean_distance
training_noalign,4725,21,0.0,0.24459515576157273,0.014198727600603424,0.01432033522266654,212.0637037037037,111.84282134998298
training_aligned,4732,21,0.0,0.2494875150469114,0.014180740929571169,0.014244581810910522,211.75,111.76525564684498
test,2386,21,0.0,0.19032305020552415,0.01692736656475549,0.015969846492166057,210.1848281642917,111.55412065480834
