feature,coefficient,abs_coefficient
OLCI_3 OLCI_18,0.0036644924,0.0036644924
OLCI_14 OLCI_21,-0.0036128452,0.0036128452
OLCI_8 OLCI_10,-0.003592851,0.003592851
OLCI_11 OLCI_13,0.0034891306,0.0034891306
OLCI_5 OLCI_13,-0.0034029058,0.0034029058
OLCI_1 OLCI_7,0.0033987854,0.0033987854
OLCI_2 OLCI_16,-0.0033919783,0.0033919783
OLCI_17 OLCI_21,-0.0033402168,0.0033402168
OLCI_1 OLCI_15,-0.0033086366,0.0033086366
OLCI_11 OLCI_12,0.003298333,0.003298333
OLCI_11 OLCI_17,0.0032603005,0.0032603005
OLCI_3 OLCI_8,-0.0032584043,0.0032584043
OLCI_8 OLCI_20,0.003220081,0.003220081
OLCI_9 OLCI_20,0.0031650593,0.0031650593
OLCI_14 OLCI_16,0.0031467648,0.0031467648
OLCI_7,-0.0031391922,0.0031391922
OLCI_17^2,-0.0031189416,0.0031189416
OLCI_2 OLCI_21,0.003029643,0.003029643
OLCI_10 OLCI_11,-0.0030138558,0.0030138558
OLCI_4 OLCI_13,-0.0030123638,0.0030123638
OLCI_10 OLCI_15,-0.0029809214,0.0029809214
OLCI_1 OLCI_3,-0.0029709267,0.0029709267
OLCI_6 OLCI_11,-0.0029033907,0.0029033907
OLCI_15 OLCI_21,0.002888333,0.002888333
OLCI_6 OLCI_17,-0.0028607058,0.0028607058
OLCI_10 OLCI_12,-0.0027985966,0.0027985966
OLCI_11 OLCI_15,0.0026969295,0.0026969295
OLCI_2 OLCI_9,-0.00261877,0.00261877
OLCI_3 OLCI_14,0.0025708573,0.0025708573
OLCI_21^2,-0.002566011,0.002566011
OLCI_6 OLCI_13,-0.002513543,0.002513543
OLCI_10 OLCI_14,-0.002478018,0.002478018
OLCI_13^2,-0.0024488224,0.0024488224
OLCI_4 OLCI_14,0.002392998,0.002392998
OLCI_18 OLCI_20,-0.0023812877,0.0023812877
OLCI_2 OLCI_7,0.0023794626,0.0023794626
OLCI_10 OLCI_17,-0.0023675675,0.0023675675
OLCI_3^2,0.0023412597,0.0023412597
OLCI_6 OLCI_7,0.0023181092,0.0023181092
OLCI_4 OLCI_18,0.002293191,0.002293191
OLCI_11 OLCI_14,0.0022846335,0.0022846335
