Model,MSE aligned,MSE misaligned,MSE improvement (%),RMSE improvement (%),MAE improvement (%),R2 aligned,R2 misaligned,R2 change
Gaussian Process,0.0002648723872058,0.0002626275814082,-0.8547486846444111,-0.42646498041924735,-0.46415259999834946,-0.0385686347764369,-0.029766717305464,-0.008801917470972899
Neural Network,0.0001796770711197,0.0005680336613761,68.36858740300352,43.75818939880908,40.74272893783219,0.2954834876447791,-1.227268574221001,1.5227520618657802
Polynomial Regression,0.0001274620461747,0.0002185018501231,41.6654613666245,23.622949367363955,24.644777352922944,0.5002193898804066,0.143250942189824,0.35696844769058256
Random Forest,0.0001768917716452,0.0002872540726095,38.41975153275863,21.526916418894153,21.599906220594637,0.3064046889943963,-0.1263275616275356,0.43273225062193194
