feature,coefficient,abs_coefficient
OLCI_8 OLCI_11,-0.0018051383,0.0018051383
OLCI_11 OLCI_15,-0.0018034588,0.0018034588
OLCI_17^2,0.0017976386,0.0017976386
OLCI_12 OLCI_20,-0.0017828667,0.0017828667
OLCI_9 OLCI_18,0.0017826436,0.0017826436
OLCI_1 OLCI_17,-0.0017724097,0.0017724097
OLCI_6 OLCI_11,-0.0017690695,0.0017690695
OLCI_4 OLCI_17,0.0017285341,0.0017285341
OLCI_18 OLCI_19,0.0017102016,0.0017102016
OLCI_6 OLCI_17,-0.001697516,0.001697516
OLCI_13 OLCI_18,-0.0016492544,0.0016492544
OLCI_6 OLCI_21,-0.0016247355,0.0016247355
OLCI_19 OLCI_21,0.0015749293,0.0015749293
OLCI_6 OLCI_16,-0.0015308214,0.0015308214
OLCI_10 OLCI_18,-0.0014928267,0.0014928267
OLCI_12 OLCI_15,0.0014807101,0.0014807101
OLCI_17 OLCI_20,-0.0014691056,0.0014691056
OLCI_8 OLCI_14,-0.0014429251,0.0014429251
OLCI_16 OLCI_18,0.001438412,0.001438412
OLCI_5 OLCI_7,0.0014290629,0.0014290629
OLCI_6 OLCI_19,-0.001416874,0.001416874
OLCI_4^2,0.0013993207,0.0013993207
OLCI_12 OLCI_14,0.0013861244,0.0013861244
OLCI_6 OLCI_10,-0.0013738521,0.0013738521
OLCI_3 OLCI_7,0.0013583028,0.0013583028
OLCI_11 OLCI_12,-0.0013570827,0.0013570827
OLCI_9 OLCI_15,0.0013410861,0.0013410861
OLCI_12^2,0.0013258085,0.0013258085
OLCI_8 OLCI_16,-0.0013055201,0.0013055201
OLCI_11 OLCI_18,-0.0012979348,0.0012979348
OLCI_1 OLCI_10,0.0012844345,0.0012844345
OLCI_3 OLCI_4,-0.0012837298,0.0012837298
OLCI_8 OLCI_17,-0.001268853,0.001268853
OLCI_1 OLCI_6,-0.001258051,0.001258051
OLCI_8 OLCI_10,-0.0012567336,0.0012567336
OLCI_1 OLCI_5,-0.0012464654,0.0012464654
OLCI_9 OLCI_13,0.0012424086,0.0012424086
OLCI_14 OLCI_21,0.001234751,0.001234751
OLCI_7 OLCI_21,-0.0012169997,0.0012169997
OLCI_12 OLCI_17,0.0012100958,0.0012100958
OLCI_9 OLCI_10,0.0011653526,0.0011653526
OLCI_15 OLCI_19,0.0011562731,0.0011562731
