band,importance_mean,importance_std
OLCI_13,0.16702685928997274,0.008083664478424813
OLCI_1,0.14267665585781422,0.0066890386336036865
OLCI_14,0.13383419157262927,0.007048990937898168
OLCI_15,0.059720528982084777,0.002850673103986295
OLCI_21,0.03229330067329712,0.003988196500541563
OLCI_2,0.021447615727822743,0.004020227997206824
OLCI_8,0.01307750868295383,0.0010753657790864891
OLCI_9,0.010078273495669055,0.0011121575512748263
OLCI_10,0.007021541326575065,0.0007827516772973775
OLCI_11,0.003468089960056542,0.0012230952400092805
OLCI_3,0.0016528935178652614,0.0017296475675438055
OLCI_12,0.0012586090861962606,0.002195899037614404
OLCI_6,-0.0021727162080201535,0.0017437460752324767
OLCI_5,-0.00928987449257499,0.0015117854305996888
OLCI_18,-0.009578730451602558,0.001061841939661406
OLCI_4,-0.011274933859486391,0.0016249644703068505
OLCI_17,-0.01145400159288974,0.0014896742064762273
OLCI_19,-0.013678646246931625,0.0031855628778851355
OLCI_7,-0.014625978321853772,0.0011372551803199603
OLCI_16,-0.021795803680548766,0.004994403422665695
OLCI_20,-0.1134276253717756,0.006290134667789528
