Model,MSE improvement (%),RMSE improvement (%),R2 change
Gaussian Process,-0.8547486846345466,-0.426464980419654,-0.008801917470972809
Neural Network,68.36858740299745,43.75818939880887,1.5227520618657802
Polynomial Regression,41.665461366596986,23.622949367363628,0.35696844769058256
Random Forest,38.41975153272791,21.52691641889425,0.432732250621932
