Model,Training dataset,MSE,RMSE,MAE,R2
Polynomial Regression,Aligned,0.0001274620461747,0.0112899090419186,0.0082017256454775,0.5002193898804066
Random Forest,Aligned,0.0001768917716452,0.0133000666030396,0.0099937770857497,0.3064046889943963
Neural Network,Aligned,0.0001796770711197,0.0134043676135707,0.0103949082278723,0.2954834876447791
Polynomial Regression,Misaligned,0.0002185018501231,0.0147818080803115,0.0108840838861162,0.143250942189824
Gaussian Process,Misaligned,0.0002626275814082,0.016205788515474,0.0115070796515606,-0.029766717305464
Gaussian Process,Aligned,0.0002648723872058,0.0162749005282933,0.0115604900609472,-0.0385686347764369
Random Forest,Misaligned,0.0002872540726095,0.0169485714032039,0.0127471494024857,-0.1263275616275356
Neural Network,Misaligned,0.0005680336613761,0.023833456765147,0.0175419961829947,-1.227268574221001
