Model,Training dataset,MSE,RMSE,MAE,R2
Gaussian Process,Aligned,0.0002648723872058438,0.01627490052829337,0.01156049006094726,-0.038568634776436905
Gaussian Process,Misaligned,0.0002626275814082691,0.016205788515474003,0.011507079651560656,-0.029766717305464097
Neural Network,Aligned,0.00017967707111974537,0.013404367613570787,0.010394908227872385,0.29548348764477916
Neural Network,Misaligned,0.0005680336613761343,0.023833456765147063,0.017541996182994797,-1.227268574221001
Polynomial Regression,Aligned,0.00012746204617479674,0.01128990904191866,0.008201725645477586,0.5002193898804066
Polynomial Regression,Misaligned,0.00021850185012316277,0.014781808080311515,0.0108840838861162,0.14325094218982404
Random Forest,Aligned,0.00017689177164528986,0.01330006660303962,0.009993777085749727,0.3064046889943963
Random Forest,Misaligned,0.00028725407260950253,0.016948571403203945,0.012747149402485728,-0.12632756162753567
